Name,Year,Producer
Crime and Punishment,1998,Joseph Sargent
Last Rites,1999,Kevin Dowling
Replacing Dad,1999,Joyce Chopra
Blackheart,1998,Dominic Shiach
Election,1999,Alexander Payne
Some Girl,1998,Rory Kelly
Undercover Angel,1999,Bryan Michael Stoller
Voyage Of Terror,1998,Brian Trenchard-Smith
Southern Man,1998,Rick Rosenberg
The Shade,1999,Raphaël Nadjari
The Repair Shop,1998,Phillip Noyce
Body Count,1998,Robert Patton-Spruill
Sirens,1999,John Sacret Young
The Eden Myth,1999,Mark Edlitz
Jesus,1999,Roger Young
Anya's Bell,1999,Tom McLoughlin
Inside Club Wild Side,1998,Lawrence Lanoff
Art House,1998,Leigh Scott
Someone to Love Me,1998,
Stonebrook,1999,Byron W. Thompson
Jaya Ganga,1998,Vijay Singh
As Time Runs Out,1999,Jerry London
A Soldier's Sweetheart,1998,Thomas Michael Donnelly
No Laughing Matter,1998,Michael Elias
Blade Squad,1998,Ralph Hemecker
Yellow,1998,Chris Chan Lee
After the Rain,1999,Ross Kettle
Sweetwater,1999,Lorraine Senna
Delivered,1999,Guy Ferland
"Twelfth Night, or What You Will",1998,Nicholas Hytner
Hoods,1998,Mark Malone
Tomorrow by Midnight,1999,Rolfe Kanefsky
Crime & Passion,1999,Gary Dean Orona
Freak City,1999,Lynne Littman
Scriptfellas,1999,Sanford Bookstaver
Logan's War: Bound by Honor,1998,Michael Preece
Execution of Justice,1999,Leon Ichaso
Mutiny,1999,Kevin Hooks
No Vacancy,1999,Marius Balchunas
Naked Lies,1998,Ralph E. Portillo
Rescuers: Stories of Courage: Two Families,1998,"Tim Hunter, Tony Bill"
Brother Tied,1998,Derek Cianfrance
Freedom Strike,1998,Jerry P. Jacobs
Entropy,1999,Phil Joanou
Shakespeare's Women and Claire Bloom,1999,Phillip Schopper
A Murder on Shadow Mountain,1999,Dick Lowry
The Unexpected Mrs. Pollifax,1999,Anthony Pullen Shaw
Circle of Deceit,1998,Alan Metzger
Standoff,1998,Andrew Chapman
The Thief & the Stripper,1998,"L.P. Brown III, John M. Sjogren"
4 Faces,1999,Ted Post
Nothing to Declare,1999,Alain Zaloum
Dante's View,1998,Steve Adelson
Too Pure,1998,Sunmin Park
Matter of Trust,1998,Joey Travolta
Burn the Floor,1999,"David Mallet, Anthony Van Laast"
Parsifal,1998,Tony Palmer
Durango,1999,Brent Shields
Inferno,1999,John G. Avildsen
The First 9½ Weeks,1998,Alex Wright
Strange Justice,1999,Ernest R. Dickerson
Some Prefer Cake,1998,Heidi Arnesen
The Trouble with Perpetual Déjà Vu,1999,Todd Verow
Forever Fabulous,1999,Werner Molinsky
Carnival of Souls,1998,"Ian Kessner, Adam Grossman"
The Souler Opposite,1998,Bill Kalmenson
Rescuers: Stories Of Courage: Two Couples,1998,"Tim Hunter, Lynne Littman"
Starstruck,1998,John Enbom
Desecration,1999,Dante Tomaselli
Desert Thunder,1999,Jim Wynorski
Vanished Without a Trace,1999,Douglas Barr
10 Things I Hate About You,1999,Gil Junger
Little Girl Fly Away,1998,Peter Levin
Thicker Than Blood,1998,Richard Pearce
One Hot Summer Night,1998,James A. Contner
Family Blessings,1999,"Deborah Raffin, Nina Foch"
Mixing Nia,1998,Alison Swan
B. Monkey,1998,Michael Radford
No Salida,1998,Bill Birrell
Horse Sense,1999,Greg Beeman
The Mask of Zorro,1998,Martin Campbell
The Brutal Truth,1999,
Bela Donna,1998,Fábio Barreto
My Husband's Secret Life,1998,Graeme Clifford
Border Line,1999,Ken Kwapis
"Shake, Rattle and Roll: An American Love Story",1999,Mike Robe
Point Blank,1998,Matt Earl Beesley
Dr. Quinn Medicine Woman: The Movie,1999,James Keach
Whiteboyz,1999,Marc Levin
Half a Dozen Babies,1999,Douglas Barr
No Tomorrow,1999,Master P
Endurance,1999,"Bud Greenspan, Leslie Woodhead"
Sex Files: Double Identity,1998,E.J. Samuels
Silencing Mary,1998,Craig R. Baxley
You've Got Mail,1998,Nora Ephron
The Seller,1998,Craig Schlattman
Tempting Fate,1998,Peter Werner
Shattered Image,1998,Raúl Ruiz
Killers in the House,1998,Michael Schultz
Two Hearts,1998,Larry Moss
The Unknown Cyclist,1998,Bernard Salzmann
"Michael Landon, the Father I Knew",1999,Michael Landon Jr.
Hostage,1999,Fredrik Sundwall
Winding Roads,1999,Theodore Melfi
Come On Get Happy: The Partridge Family Story,1999,David Burton Morris
Deep in My Heart,1999,Anita W. Addison
Lima: Breaking the Silence,1999,Menahem Golan
"Sarah, Plain and Tall: Winter's End",1999,Glenn Jordan
Money Buys Happiness,1999,Gregg Lachow
Summer's End,1999,Helen Shaver
"Max, 13",1999,Abe Levy
A Champion's Fight,1998,
Reflections on Ice: Michelle Kwan Skates to the Music of Disney's 'Mulan',1998,Steve Binder
Who Gets the House?,1999,Timothy J. Nelson
The Rugrats Movie,1998,"Igor Kovalyov, Norton Virgien"
The Stand-In,1999,Robert Monticello
A.T.F.,1999,Dean Parisot
Secret of Giving,1999,Sam Pillsbury
Evolution's Child,1999,Jeffrey Reiner
Born Bad,1999,Jeff Yonis
"I'm the Elephant, U Are the Mouse",1999,Forest Wise
A Wing and a Prayer,1998,Paul Wendkos
Learning Curve,1998,Andy Anderson
Free Fall,1999,Mario Philip Azzopardi
Interceptor Force,1999,Phillip J. Roth
Drylongso,1998,Cauleen Smith
The Lesser Evil,1998,David MacKay
Not Even the Trees,1998,Nacho Arenas
Cats,1998,David Mallet
Johnny Skidmarks,1998,John Raffo
Story of a Bad Boy,1999,Tom Donaghy
Murder at Devil's Glen,1999,Paul Shapiro
1999,1998,Nick Davis
Mama Flora's Family,1998,Peter Werner
Davis Is Dead,1998,Ryan Oxford
A Texas Funeral,1999,William Blake Herron
Neto's Run,1998,Alfredo De Villa
Hefner: Unauthorized,1999,Peter Werner
Earthquake in New York,1998,Terry Ingram
The Love Letter,1998,Dan Curtis
Waiting for Woody,1998,Grant Heslov
Hard Rain,1998,Mikael Salomon
Pants On Fire,1998,Rocky Collins
ABCD,1999,Krutin Patel
