Name,Year,Producer
The Hi-Lo Country,1999,Stephen Frears
The Long Island Incident,1998,Joseph Sargent
Bulworth,1998,Warren Beatty
The Adventures of Sebastian Cole,1998,Tod Williams
Shadrach,1998,Susanna Styron
Corrupt,1999,Albert Pyun
The Love Letter,1999,Peter Chan
Ever After,1998,Andy Tennant
Star Trek: Insurrection,1998,Jonathan Frakes
Restaurant,1999,Eric Bross
Witness Protection,1999,Richard Pearce
The End of the Affair,1999,Neil Jordan
Next Stop Wonderland,1998,Brad Anderson
The Bone Collector,1999,Phillip Noyce
What Dreams May Come,1998,Vincent Ward
The Hurricane,1999,Norman Jewison
Let's Talk About Sex,1998,Troy Beyer
The City,1998,David Riker
Rear Window,1998,Jeff Bleckner
Fear and Loathing in Las Vegas,1998,Terry Gilliam
A Price Above Rubies,1998,Boaz Yakin
How Stella Got Her Groove Back,1998,Kevin Rodney Sullivan
The Legend of 1900,1998,Giuseppe Tornatore
The Deep End of the Ocean,1999,Ulu Grosbard
Brooklyn Thrill Killers,1999,"Paul Franco, Derek Davidson"
Simon Magus,1999,Ben Hopkins
The Passion of Ayn Rand,1999,Christopher Menaul
Wide Awake,1998,M. Night Shyamalan
Aftershock: Earthquake in New York,1999,Mikael Salomon
Hurlyburly,1998,Anthony Drazan
Light It Up,1999,Craig Bolotin
Ivory Tower,1998,Darin Ferriola
Cradle Will Rock,1999,Tim Robbins
Man on the Moon,1999,Miloš Forman
The Newton Boys,1998,Richard Linklater
Life,1999,Ted Demme
Hope Floats,1998,Forest Whitaker
Anywhere but Here,1999,Wayne Wang
The Object of My Affection,1998,Nicholas Hytner
The Cider House Rules,1999,Lasse Hallström
Joe the King,1999,Frank Whaley
Caught Up,1998,Darin Scott
The Baby Dance,1998,Jane Anderson
A Lesson Before Dying,1999,Joseph Sargent
A Good Baby,1998,Katherine Dieckmann
A Civil Action,1998,Steven Zaillian
Titus,1999,Julie Taymor
Saving Private Ryan,1998,Steven Spielberg
The Straight Story,1999,David Lynch
The Thin Red Line,1998,Terrence Malick
The Insider,1999,Michael Mann
Bringing Out the Dead,1999,Martin Scorsese
Being John Malkovich,1999,Spike Jonze
54,1998,Mark Christopher
Meet Joe Black,1998,Martin Brest
Julien Donkey-Boy,1999,Harmony Korine
Home Fries,1998,Dean Parisot
Deterrence,1999,Rod Lurie
Varsity Blues,1999,Brian Robbins
Les Misérables,1998,Bille August
Taxman,1999,Avi Nesher
Judas Kiss,1998,Sebastian Gutierrez
2x4,1998,Jimmy Smallhorne
Johnny Tsunami,1999,Steve Boyum
The Suburbans,1999,Donal Lardner Ward
Breakfast of Champions,1999,Alan Rudolph
Forever Mine,1999,Paul Schrader
Jakob the Liar,1999,Peter Kassovitz
Cement,1999,Adrian Pasdar
The Virgin Suicides,1999,Sofia Coppola
Angela's Ashes,1999,Alan Parker
The Woman Chaser,1999,Robinson Devor
Bicentennial Man,1999,Chris Columbus
Different Strokes,1998,Michael Paul Girard
Thicker than Water,1999,Richard Cummings Jr.
The Other Sister,1999,Garry Marshall
Ringmaster,1998,Neil Abramson
Two Girls and a Guy,1998,James Toback
Tycus,1999,John Putch
The Broken Giant,1998,Estep Nagy
Rites of Passage,1999,Victor Salva
Play It to the Bone,1999,Ron Shelton
Denial,1998,Adam Rifkin
Dirt Merchant,1999,B.J. Nelson
Broken Vessels,1998,Scott Ziehl
Blue Valley Songbird,1999,Richard A. Colla
Dancing at Lughnasa,1998,Pat O'Connor
Noah's Ark,1999,John Irvin
Onegin,1999,Martha Fiennes
Into My Heart,1999,"Anthony Stark, Sean Smith"
Riddler's Moon,1998,Don McBrearty
La Cucaracha,1998,Jack Perez
Crime in Connecticut: The Story of Alex Kelly,1999,Ted Kotcheff
Row Your Boat,1998,Sollace Mitchell
Looking for an Echo,1999,Martin Davidson
Inherit the Wind,1999,Daniel Petrie
"Selma, Lord, Selma",1999,Charles Burnett
The Hunley,1999,John Gray
Claire Dolan,1998,Lodge Kerrigan
Wisconsin Death Trip,1999,James Marsh
Lick the Star,1998,Sofia Coppola
Xiu Xiu: The Sent Down Girl,1998,Joan Chen
Blind Faith,1998,Ernest R. Dickerson
Edge City,1998,Eugene Martin
Whatever,1998,Susan Skoog
Judgment Day: The Ellie Nesler Story,1999,Stephen Tolkin
Dead Homiez,1999,Billy Wright
Deep Impact,1998,Mimi Leder
October Sky,1999,Joe Johnston
The Sixth Sense,1999,M. Night Shyamalan
Stuart Bliss,1998,Neil Grieve
Getting to Know You,1999,Lisanne Skyler
On the Ropes,1999,"Nanette Burstein, Brett Morgen"
Celebrity,1998,Woody Allen
Simpatico,1999,Matthew Warchus
The Commissioner,1998,George Sluizer
Dash and Lilly,1999,Kathy Bates
Thanks of a Grateful Nation,1998,Rod Holcomb
"God Said, 'Ha!'",1998,Julia Sweeney
Harlem Aria,1999,William Jennings
Playing by Heart,1998,Willard Carroll
Miss Monday,1998,Benson Lee
Clay Pigeons,1998,David Dobkin
The Con,1998,Steven Schachter
Astoria,1998,Mark Piznarski
David and Lisa,1998,Lloyd Kramer
Cookie's Fortune,1999,Robert Altman
Lush,1999,Mark Gibson
Eastside,1999,Lorena David
Love Letters,1999,Stanley Donen
Love After Death,1998,Charles Matthau
The Proposition,1998,Lesli Linka Glatter
Dead by Dawn,1998,James Salisbury
Jerry and Tom,1998,Saul Rubinek
Ricochet River,1998,Deborah Del Prete
Snow Falling on Cedars,1999,Scott Hicks
Too Tired to Die,1998,Wonsuk Chin
The Secret Life of Girls,1999,Holly Goldberg Sloan
Thick as Thieves,1998,
The '60s,1999,Mark Piznarski
Twice Upon a Time,1998,Thom Eberhardt
"A Cool, Dry Place",1999,John N. Smith
Random Hearts,1999,Sydney Pollack
Life Of The Party: The Pamela Harriman Story,1998,Waris Hussein
Never Been Kissed,1999,Raja Gosnell
Return to Paradise,1998,Joseph Ruben
Indiscretion of an American Wife,1998,George Kaczender
The Negotiator,1998,F. Gary Gray
Preachin' to the Sistas,1998,Roderick Powell
Clouds,1999,Don Thompson
Natalie's Rose,1998,Paul McKellips
The Moment After,1999,Wes Llewellyn
Legalese,1998,Glenn Jordan
Life Tastes Good,1999,Philip Kan Gotanda
Relax...It's Just Sex,1998,P.J. Castellaneta
Love Songs,1999,"Robert Townsend, Andre Braugher, Louis Gossett Jr."
Recipe for Revenge,1998,Stacey Stewart Curtis
Coyotes,1999,Kevin McCarey
The Basket,1999,Rich Cowan
Murder in China Basin,1999,
An Angel on Abbey Street,1999,Jed Nolan
A Song from the Heart,1999,Marcus Cole
Miracle at Midnight,1998,Ken Cameron
The Last Best Sunday,1999,Don Most
Emma's Wish,1998,Mike Robe
Seamless,1999,Debrah LeMattre
The Prodigy,1999,Edward T. McDougal
Temps,1999,
Freak Weather,1999,Mary Kuryla
Backlash,1999,Jack Ersgard
Pirates of Silicon Valley,1999,Martyn Burke
The Temptations,1998,Allan Arkush
The Staircase,1998,Karen Arthur
A Town Has Turned to Dust,1998,Rob Nilsson
The Simple Life of Noah Dearborn,1999,Gregg Champion
The Thomas Crown Affair,1999,John McTiernan
My Little Assassin,1999,Jack Bender
Lies and Whispers,1998,Roger L. Simon
Distant Bridges,1999,Ian Rhodes
Out of Season,1998,Jeanette L. Buck
Bobby G Can't Swim,1999,John-Luke Montias
Apocalypse II: Revelation,1998,Andre van Heerden
The Runner,1999,Ron Moler
The Treat,1998,Jonathan Gems
Gypsy Boys,1999,Brian Shepp
The Joyriders,1999,Bradley Battersby
Escape to Grizzly Mountain,1999,Anthony Dalesandro
The Invisibles,1999,Noah Stern
I'll Remember April,1999,Bob Clark
"Mary, Mother of Jesus",1999,Kevin Connor
Dangerous Evidence: The Lori Jackson Story,1999,Sturla Gunnarsson
Finding North,1998,Tanya Wexler
Heartwood,1998,Lanny Cotler
Going Home,1999,Ian Barry
Simply Irresistible,1999,Mark Tarlov
The Rook,1999,Eran Palatnik
True Friends,1998,James Quattrochi
Cleopatra,1999,Franc Roddam
Permanent Midnight,1998,David Veloz
An Ideal Husband,1999,Oliver Parker
Edge of Seventeen,1998,David Moreton
Eye of the Storm,1998,Marcus Spiegel
Anna and the King,1999,Andy Tennant
Fiona,1998,Amos Kollek
Ride with the Devil,1999,Ang Lee
Cool Air,1999,Bryan Moore
Last Chance,1999,Bryan Cranston
The Hi-Line,1999,Ron Judkins
Judy Berlin,1999,Eric Mendelsohn
A Change of Heart,1998,Arvin Brown
Kate's Addiction,1999,Eric DelaBarre
Peep Show,1999,Charlie Call
"Our Friend, Martin",1999,"Robert Brousseau, Vincenzo Trippetti"
Kiss the Sky,1999,Roger Young
Vendetta,1999,Nicholas Meyer
In the Flesh,1998,
Blind Light,1998,Pola Rapaport
Balloon Farm,1999,William Dear
Pariah,1998,Randolph Kret
City of Angels,1998,Brad Silberling
Southie,1999,John Shea
"God, Sex & Apple Pie",1998,Paul Leaf
Joseph's Gift,1998,Philippe Mora
Nowhere Fast,1998,Cinqué Lee
Mascara,1999,Linda Kandel
Switched at Birth,1999,Douglas Barr
Fallen Arches,1999,Ron Cosentino
Angel Blue,1998,Steven Kovacs
Still Holding On: The Legend of Cadillac Jack,1998,David Burton Morris
Levitation,1998,Scott D. Goldstein
Black and Blue,1999,Paul Shapiro
My Last Love,1999,Michael Schultz
Foolish,1999,Dave Meyers
Final Justice,1998,Tommy Lee Wallace
The Legend of Sleepy Hollow,1999,Pierre Gang
Fifth Ward,1998,Greg Carter
A City Called Heaven,1998,Hugh Thompson
Monument Ave.,1998,Ted Demme
The Rat Pack,1998,Rob Cohen
On the QT,1999,Yale Strom
Road Kill,1999,Matthew Leutwyler
Barriers,1999,Alan Baxter
Diary of a Serial Killer,1998,Joshua Wallace
Animal Farm,1999,John Stephenson
American Reel,1999,Mark Archer
The Pact,1999,Rodney Gibbons
Black Eyed Dog,1999,Richard O'Connell
Veteranos,1998,"Ed Quiroz, Jose Quiroz"
The Turn of the Screw,1999,Ben Bolt
Arrangement,1999,H.H. Cooper
Family of Cops 3,1999,Sheldon Larry
Talk of Angels,1998,Nick Hamm
Forever Love,1998,Michael Switzer
Primary Colors,1998,Mike Nichols
Blink of an Eye,1999,Van Fischer
The Seventh Sense,1999,Lawrence Unger
The Height of the Sky,1999,Lyn Clinton
Double Platinum,1999,Robert Allan Ackerman
The Wall,1998,Joseph Sargent
Catalina Trust,1999,Will Conroy
Beowulf,1999,Graham Baker
For Love of the Game,1999,Sam Raimi
A Vow to Cherish,1999,John Schmidt
No Higher Love,1999,Michael Switzer
Family Tree,1999,Duane Clark
Miss Julie,1999,Mike Figgis
Nicholas' Gift,1998,Robert Markowitz
Body and Soul,1999,Sam Henry Kass
When Trumpets Fade,1998,John Irvin
Surrender Dorothy,1998,Kevin DiNovis
Ambushed,1998,Ernest R. Dickerson
Silk Hope,1999,"Kevin Dowling, Kevin Dowling"
Spirit of My Mother,1999,Ali Allie
Passion's Way,1999,Robert Allan Ackerman
Miracle on the 17th Green,1999,Michael Switzer
All of It,1998,Jody Podolsky
The Gathering,1998,Danny Carrales
Death in the Shadows,1998,Peter Levin
Only Once,1998,Rocco DeVilliers
Shiloh 2: Shiloh Season,1999,Sandy Tung
Restless Spirits,1999,David Wellington
Money Kings,1998,Graham Theakston
Journey to the Center of the Earth,1999,George T. Miller
Journey from the Heart,1999,V.V. Dachin Hsu
Finding Love Again,1999,"Graham H. Green, Richard Lerner"
New Rose Hotel,1999,Abel Ferrara
Around the Fire,1998,John Jacobson
